antecedent,consequent,support,confidence,lift,count,antecedent_count,antecedent_size
DOW=Fri,NEXT_GapDir=gap_DOWN,0.1167,0.6364,1.2317,7,11,1
DOW=Mon,NEXT_UpDown=NEXT_DOWN,0.1333,0.7273,1.6162,8,11,1
DOW=Tue,NEXT_UpDown=NEXT_UP,0.1333,0.6667,1.25,8,12,1
DOW=Tue,NEXT_TotalDir=total_UP,0.1333,0.6667,1.1765,8,12,1
DOW=Wed,NEXT_UpDown=NEXT_UP,0.1333,0.6154,1.1538,8,13,1
DOW=Wed,NEXT_GapDir=gap_DOWN,0.1333,0.6154,1.1911,8,13,1
DOW=Wed,NEXT_TotalDir=total_UP,0.15,0.6923,1.2217,9,13,1
Day_Dir=big_down,NEXT_TotalDir=total_DOWN,0.1,0.6,1.44,6,10,1
Day_Dir=slight_down,NEXT_UpDown=NEXT_UP,0.0833,0.8333,1.5625,5,6,1
Day_Dir=slight_down,NEXT_Dir=next_big_up,0.0667,0.6667,2.1053,4,6,1
Day_Dir=slight_down,NEXT_GapDir=gap_DOWN,0.0667,0.6667,1.2903,4,6,1
Day_Dir=slight_down,NEXT_TotalDir=total_UP,0.0833,0.8333,1.4706,5,6,1
Day_Dir=slight_up,NEXT_GapDir=gap_DOWN,0.1,0.8571,1.659,6,7,1
Day_Dir=mod_up,NEXT_UpDown=NEXT_UP,0.1,0.8571,1.6071,6,7,1
Day_Dir=mod_up,NEXT_GapDir=gap_DOWN,0.0833,0.7143,1.3825,5,7,1
Day_Dir=mod_up,NEXT_TotalDir=total_UP,0.0833,0.7143,1.2605,5,7,1
Day_Dir=big_up,NEXT_GapDir=gap_UP,0.2167,0.6842,1.4662,13,19,1
Day_Dir=big_up,NEXT_TotalDir=total_UP,0.2,0.6316,1.1146,12,19,1
Gap=gap_down,NEXT_GapDir=gap_UP,0.1,0.6667,1.4286,6,9,1
Gap=flat,NEXT_UpDown=NEXT_UP,0.1,0.6667,1.25,6,9,1
Gap=flat,NEXT_TotalDir=total_UP,0.1167,0.7778,1.3725,7,9,1
Gap=gap_up_big,NEXT_UpDown=NEXT_UP,0.1,0.6667,1.25,6,9,1
Gap=gap_up_big,NEXT_GapDir=gap_DOWN,0.1,0.6667,1.2903,6,9,1
Range=normal,NEXT_GapDir=gap_DOWN,0.1167,0.6364,1.2317,7,11,1
Range=normal,NEXT_TotalDir=total_UP,0.1333,0.7273,1.2834,8,11,1
Range=wide,NEXT_UpDown=NEXT_UP,0.2833,0.6071,1.1384,17,28,1
Volume=low,NEXT_GapDir=gap_DOWN,0.1667,0.6667,1.2903,10,15,1
Volume=normal,NEXT_UpDown=NEXT_UP,0.2,0.6,1.125,12,20,1
Volume=normal,NEXT_GapDir=gap_UP,0.2,0.6,1.2857,12,20,1
Volume=normal,NEXT_TotalDir=total_UP,0.2333,0.7,1.2353,14,20,1
Volume=very_high,NEXT_UpDown=NEXT_UP,0.0667,0.6667,1.25,4,6,1
Volume=very_high,NEXT_GapDir=gap_DOWN,0.0667,0.6667,1.2903,4,6,1
Volume=very_high,NEXT_GapSize=gap_crash,0.0667,0.6667,5.0,4,6,1
Volume=very_high,NEXT_TotalDir=total_DOWN,0.0667,0.6667,1.6,4,6,1
Volume=very_high,NEXT_MoveType=mixed,0.0667,0.6667,1.6,4,6,1
Volume=very_high,NEXT_GapAction=gap_down_recover,0.0667,0.6667,2.6667,4,6,1
RSI=neutral_low,NEXT_GapDir=gap_DOWN,0.1667,0.6667,1.2903,10,15,1
RSI=strong,NEXT_UpDown=NEXT_UP,0.1667,0.625,1.1719,10,16,1
MACD_Hist=bear,NEXT_UpDown=NEXT_UP,0.1,0.6667,1.25,6,9,1
MACD_Hist=bear,NEXT_GapDir=gap_UP,0.1,0.6667,1.4286,6,9,1
MACD_Hist=bear,NEXT_TotalDir=total_UP,0.1167,0.7778,1.3725,7,9,1
MACD_Hist=neutral,NEXT_UpDown=NEXT_DOWN,0.1167,0.7,1.5556,7,10,1
MACD_Hist=neutral,NEXT_GapDir=gap_DOWN,0.1333,0.8,1.5484,8,10,1
MACD_Hist=neutral,NEXT_TotalDir=total_DOWN,0.1167,0.7,1.68,7,10,1
MACD_Hist=bull,NEXT_UpDown=NEXT_UP,0.1667,0.7143,1.3393,10,14,1
MACD_Hist=bull,NEXT_TotalDir=total_UP,0.1667,0.7143,1.2605,10,14,1
EMA_Trend=strong_bear,NEXT_TotalDir=total_UP,0.0667,0.6667,1.1765,4,6,1
EMA_Trend=bear,NEXT_UpDown=NEXT_DOWN,0.0667,0.6667,1.4815,4,6,1
EMA_Trend=bear,NEXT_MoveType=intraday_move,0.0667,0.6667,1.8182,4,6,1
EMA_Trend=slight_bull,NEXT_UpDown=NEXT_UP,0.05,1.0,1.875,3,3,1
EMA_Trend=slight_bull,NEXT_Dir=next_big_up,0.05,1.0,3.1579,3,3,1
EMA_Trend=slight_bull,NEXT_TotalDir=total_UP,0.05,1.0,1.7647,3,3,1
EMA_Trend=slight_bull,NEXT_MoveType=intraday_move,0.05,1.0,2.7273,3,3,1
BB_Position=lower_quarter,NEXT_UpDown=NEXT_UP,0.05,0.6,1.125,3,5,1
BB_Position=lower_quarter,NEXT_GapDir=gap_DOWN,0.0667,0.8,1.5484,4,5,1
BB_Position=lower_quarter,NEXT_GapSize=gap_big_down,0.05,0.6,2.4,3,5,1
BB_Position=lower_quarter,NEXT_TotalDir=total_DOWN,0.05,0.6,1.44,3,5,1
BB_Position=lower_quarter,NEXT_MoveType=intraday_move,0.05,0.6,1.6364,3,5,1
BB_Position=lower_mid,NEXT_TotalDir=total_UP,0.15,0.6429,1.1345,9,14,1
BB_Position=above_upper,NEXT_UpDown=NEXT_UP,0.1,0.6,1.125,6,10,1
BB_Position=above_upper,NEXT_GapDir=gap_UP,0.1,0.6,1.2857,6,10,1
BB_Position=above_upper,NEXT_MoveType=mixed,0.1,0.6,1.44,6,10,1
BB_Squeeze=normal,NEXT_UpDown=NEXT_DOWN,0.1,0.6,1.3333,6,10,1
BB_Squeeze=normal,NEXT_GapDir=gap_DOWN,0.1,0.6,1.1613,6,10,1
BB_Squeeze=wide,NEXT_UpDown=NEXT_UP,0.2333,0.7,1.3125,14,20,1
BB_Squeeze=wide,NEXT_TotalDir=total_UP,0.25,0.75,1.3235,15,20,1
SMA_Align=bearish,NEXT_UpDown=NEXT_UP,0.1,0.6,1.125,6,10,1
SMA_Align=bearish,NEXT_GapDir=gap_UP,0.1,0.6,1.2857,6,10,1
SMA_Align=bearish,NEXT_TotalDir=total_UP,0.1167,0.7,1.2353,7,10,1
OBV_Trend=distributing,NEXT_UpDown=NEXT_UP,0.25,0.6818,1.2784,15,22,1
OBV_Trend=distributing,NEXT_TotalDir=total_UP,0.2667,0.7273,1.2834,16,22,1
VWAP_Pos=above,NEXT_UpDown=NEXT_UP,0.0667,0.6667,1.25,4,6,1
VWAP_Pos=above,NEXT_TotalDir=total_UP,0.0667,0.6667,1.1765,4,6,1
VWAP_Pos=above,NEXT_MoveType=mixed,0.0667,0.6667,1.6,4,6,1
Streak=long_down,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,1
Streak=long_down,NEXT_TotalDir=total_UP,0.05,0.75,1.3235,3,4,1
Streak=long_down,NEXT_MoveType=mixed,0.05,0.75,1.8,3,4,1
Streak=3_down,NEXT_TotalDir=total_UP,0.0833,0.625,1.1029,5,8,1
Streak=2_down,NEXT_TotalDir=total_DOWN,0.15,0.6,1.44,9,15,1
Streak=1_up,NEXT_UpDown=NEXT_UP,0.15,0.6,1.125,9,15,1
Streak=1_up,NEXT_TotalDir=total_UP,0.1667,0.6667,1.1765,10,15,1
