Date,Open,High,Low,Close,Volume,Prev_Close,Change,Change_Pct,Range,Range_Pct,VWAP,SMA_5,SMA_10,SMA_20,EMA_9,EMA_21,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Mid,BB_Lower,BB_Width,Vol_SMA_20,Rel_Volume,ATR_14,OBV,AD_Line
2025-12-29,11.0,11.61,10.9,11.19,1287100,11.26,-0.07,-0.6217,0.71,6.5138,16.069,11.546,11.928,13.1125,11.9295,12.7514,34.0752,-0.8384,-0.6772,-0.1612,15.9035,13.1125,10.3215,42.5704,780720.0,1.6486,0.7581,-14542200,-22848260.3881
2025-12-30,11.15,11.42,10.93,10.94,963200,11.19,-0.25,-2.2341,0.49,4.4831,16.01,11.334,11.756,13.008,11.7316,12.5867,32.6933,-0.8754,-0.7168,-0.1586,15.9637,13.008,10.0523,45.444,800820.0,1.2028,0.7516,-15505400,-23772148.9335
2025-12-31,10.99,11.2,10.845,10.92,908000,10.94,-0.02,-0.1828,0.355,3.2734,15.9544,11.176,11.551,12.8955,11.5693,12.4352,32.5795,-0.896,-0.7527,-0.1434,15.9931,12.8955,9.7979,48.0414,805935.0,1.1266,0.7334,-16413400,-24296487.4426
2026-01-02,11.48,12.828,11.45,12.59,1317000,10.92,1.67,15.293,1.378,12.0349,15.8965,11.38,11.62,12.826,11.7734,12.4492,48.6554,-0.7688,-0.7559,-0.0129,15.8832,12.826,9.7688,47.6726,839225.0,1.5693,0.8118,-15096400,-23434416.079
2026-01-05,12.59,13.38,12.238,13.03,845800,12.59,0.44,3.4948,1.142,9.3316,15.8662,11.734,11.749,12.703,12.0247,12.502,51.9091,-0.6252,-0.7297,0.1045,15.4954,12.703,9.9106,43.9651,824430.0,1.0259,0.8069,-14250600,-23107057.885
2026-01-06,12.91,13.33,12.725,13.24,585000,13.03,0.21,1.6117,0.605,4.7544,15.8471,12.144,11.845,12.6165,12.2678,12.5691,53.426,-0.4888,-0.6816,0.1927,15.2136,12.6165,10.0194,41.1701,827090.0,0.7073,0.7701,-13665600,-22696107.8985
2026-01-07,13.1,13.64,12.96,13.17,437000,13.24,-0.07,-0.5287,0.68,5.2469,15.8338,12.59,11.962,12.5295,12.4482,12.6238,52.8278,-0.382,-0.6217,0.2396,14.9107,12.5295,10.1483,38.0098,818725.0,0.5338,0.7789,-14102600,-22863196.2059
2026-01-08,13.05,13.38,12.66,13.06,596300,13.17,-0.11,-0.8352,0.72,5.6872,15.8143,13.018,12.097,12.452,12.5706,12.6634,51.8455,-0.3027,-0.5579,0.2551,14.6413,12.452,10.2627,35.1634,826325.0,0.7216,0.7153,-14698900,-22796939.9483
2026-01-09,13.49,13.5,12.67,12.7,482200,13.06,-0.36,-2.7565,0.83,6.5509,15.7984,13.04,12.21,12.3775,12.5965,12.6667,48.6566,-0.2659,-0.4995,0.2336,14.4138,12.3775,10.3412,32.9034,827655.0,0.5826,0.7174,-15181100,-23244282.4241
2026-01-12,12.56,12.59,11.9,12.36,744500,12.7,-0.34,-2.6772,0.69,5.7983,15.7683,12.906,12.32,12.2515,12.5492,12.6389,45.7918,-0.2611,-0.4518,0.1907,13.9132,12.2515,10.5898,27.127,826225.0,0.9011,0.719,-15925600,-22996116.4434
