Datetime,Open,High,Low,Close,Volume,Change,Change_Pct,Bar_Range,Body,Upper_Wick_Pct,Lower_Wick_Pct,VWAP,Cum_Volume,Vol_Delta,Cum_Vol_Delta,EMA_9,EMA_21,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Mid,BB_Lower,Vol_SMA_20,Rel_Volume
2026-06-18 09:30:00-04:00,17.46,17.47,16.9,16.94,98677,-0.325,-1.8824,0.57,0.52,1.7544,7.0177,17.1033,98677.0,-98677,-98677.0,17.3986,17.6008,23.5419,-0.1757,-0.1013,-0.0744,18.2952,17.7017,17.1083,22380.35,4.4091
2026-06-18 09:35:00-04:00,16.94,17.0,16.38,16.4999,56612,-0.4401,-2.598,0.62,0.4401,9.6773,19.339,16.9295,155289.0,-56612,-155289.0,17.2189,17.5007,17.7487,-0.2401,-0.1291,-0.111,18.4213,17.6307,16.8402,24909.65,2.2727
2026-06-18 09:40:00-04:00,16.4801,16.7331,16.39,16.55,37676,0.0501,0.3036,0.3431,0.0699,53.3666,26.2608,16.8569,192965.0,37676,-117613.0,17.0851,17.4143,20.1573,-0.2838,-0.16,-0.1238,18.4893,17.5682,16.6471,24522.95,1.5364
2026-06-18 09:45:00-04:00,16.66,16.79,16.66,16.75,14075,0.2,1.2085,0.13,0.09,30.7697,0.0,16.8485,207040.0,14075,-103538.0,17.0181,17.3539,29.0853,-0.2989,-0.1878,-0.1111,18.4796,17.5082,16.5369,24854.85,0.5663
2026-06-18 09:50:00-04:00,16.75,16.7698,16.6153,16.6153,9242,-0.1347,-0.8042,0.1545,0.1347,12.8156,0.0,16.8408,216282.0,-9242,-112780.0,16.9375,17.2868,26.9034,-0.318,-0.2138,-0.1042,18.4494,17.4362,16.423,24333.05,0.3798
2026-06-18 09:55:00-04:00,16.7399,16.7399,16.51,16.68,15098,0.0647,0.3894,0.2299,0.0599,0.0,73.9451,16.8279,231380.0,-15098,-127878.0,16.886,17.2316,29.634,-0.3242,-0.2359,-0.0883,18.3914,17.3677,16.3441,24789.45,0.609
2026-06-18 10:00:00-04:00,16.7,16.82,16.63,16.785,16449,0.105,0.6295,0.19,0.085,18.4209,36.8428,16.8224,247829.0,16449,-111429.0,16.8658,17.191,33.9464,-0.317,-0.2521,-0.0649,18.2994,17.3027,16.3061,25140.1,0.6543
2026-06-18 10:05:00-04:00,16.75,17.0,16.75,16.86,26498,0.075,0.4468,0.25,0.11,55.9998,0.0,16.827,274327.0,26498,-84931.0,16.8646,17.1609,36.9202,-0.3018,-0.2621,-0.0397,18.2372,17.2542,16.2713,25651.0,1.033
2026-06-18 10:10:00-04:00,16.83,16.8674,16.646,16.646,5434,-0.214,-1.2693,0.2214,0.184,16.8922,0.0,16.8249,279761.0,-5434,-90365.0,16.8209,17.1141,32.4334,-0.3035,-0.2703,-0.0331,18.1669,17.193,16.2192,25407.2,0.2139
2026-06-18 10:15:00-04:00,16.705,16.7362,16.64,16.67,8553,0.024,0.1442,0.0962,0.035,32.4325,31.1854,16.8207,288314.0,-8553,-98918.0,16.7907,17.0737,33.4108,-0.2994,-0.2762,-0.0233,18.0891,17.1355,16.182,25525.6,0.3351
