date,article_count,avg_polarity,max_polarity,min_polarity,avg_subjectivity,positive_count,negative_count,neutral_count,sentiment_ratio
2026-04-09,3,-0.0923,0.0417,-0.3187,0.3278,0,1,2,-0.3333
2026-04-08,11,-0.0567,0.3333,-0.4667,0.2518,2,4,5,-0.1818
2026-04-07,1,0.0,0.0,0.0,0.0667,0,0,1,0.0
2026-04-06,3,0.1525,0.2548,0.0959,0.4948,2,0,1,0.6667
2026-04-05,1,-0.35,-0.35,-0.35,0.4,0,1,0,-1.0
2026-04-03,2,0.1076,0.1594,0.0559,0.5072,1,0,1,0.5
2026-04-02,3,-0.0258,0.1278,-0.225,0.4247,1,1,1,0.0
2026-04-01,4,0.0383,0.0848,0.0,0.2336,0,0,4,0.0
2026-03-31,4,-0.069,0.1067,-0.4667,0.319,1,1,2,0.0
2026-03-30,5,0.1174,0.3333,0.022,0.3519,1,0,4,0.2
2026-03-27,3,0.01,0.1338,-0.1037,0.2349,1,1,1,0.0
2026-03-26,4,0.0271,0.1255,-0.0667,0.4225,2,0,2,0.5
2026-03-25,2,-0.0664,0.2172,-0.35,0.4525,1,1,0,0.0
2026-03-24,1,0.16,0.16,0.16,0.4,1,0,0,1.0
2026-03-19,4,-0.0542,0.0,-0.15,0.1715,0,1,3,-0.25
2026-03-18,6,-0.3978,-0.24,-0.4667,0.4889,0,6,0,-1.0
2026-03-17,6,-0.0354,0.0,-0.2125,0.1278,0,1,5,-0.1667
2026-03-16,7,0.0363,0.2,-0.0667,0.2818,1,0,6,0.1429
