contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration
GRRR260327C00002000,2026-03-02 19:39:43+00:00,2.0,10.29,8.0,9.4,0.0,0.0,,0,18.875004101562503,True,REGULAR,USD,CALL,2026-03-27
GRRR260327C00010000,2026-03-23 14:04:07+00:00,10.0,0.79,0.5,1.4,0.0,0.0,1.0,5,0.98437515625,True,REGULAR,USD,CALL,2026-03-27
GRRR260327C00010500,2026-03-25 16:53:10+00:00,10.5,0.54,0.0,1.05,0.04000002,8.000004,2.0,31,0.8085956640624999,True,REGULAR,USD,CALL,2026-03-27
GRRR260327C00011000,2026-03-25 18:45:52+00:00,11.0,0.27,0.05,0.4,0.050000012,22.727278,71.0,293,0.73437765625,False,REGULAR,USD,CALL,2026-03-27
GRRR260327C00011500,2026-03-25 19:46:03+00:00,11.5,0.1,0.1,0.15,0.009999998,11.111108,80.0,697,0.8828136718749999,False,REGULAR,USD,CALL,2026-03-27
GRRR260327C00012000,2026-03-25 14:34:48+00:00,12.0,0.11,0.0,0.2,0.05,83.333336,43.0,219,1.125004375,False,REGULAR,USD,CALL,2026-03-27
GRRR260327C00012500,2026-03-24 14:22:32+00:00,12.5,0.05,0.0,0.25,-0.009999998,-16.666662,1.0,33,1.5078149609375,False,REGULAR,USD,CALL,2026-03-27
GRRR260327C00013000,2026-03-25 17:55:46+00:00,13.0,0.07,0.0,0.3,0.04,133.33333,3.0,45,1.875000625,False,REGULAR,USD,CALL,2026-03-27
GRRR260327C00013500,2026-03-10 18:04:19+00:00,13.5,0.26,0.0,1.9,0.0,0.0,,1,4.5859417675781255,False,REGULAR,USD,CALL,2026-03-27
GRRR260327C00014000,2026-03-23 16:13:36+00:00,14.0,0.04,0.0,0.7,0.0,0.0,2.0,88,3.1250021875,False,REGULAR,USD,CALL,2026-03-27
GRRR260327C00015000,2026-03-20 18:12:42+00:00,15.0,0.38,0.0,0.75,0.0,0.0,8.0,64,3.6875007812500002,False,REGULAR,USD,CALL,2026-03-27
