expiration,dte,call_volume,put_volume,total_volume,pc_vol_ratio,call_oi,put_oi,total_oi,pc_oi_ratio,max_pain,implied_move_pct
2026-03-27,1,223,254,477,1.139,1485,829,2314,0.5582,11.5,5.29
2026-04-02,7,98,110,208,1.1224,584,432,1016,0.7397,13.0,14.96
2026-04-10,15,34,82,116,2.4118,134,349,483,2.6045,15.0,21.41
2026-04-17,22,50,51,101,1.02,933,892,1825,0.9561,12.5,17.5
2026-04-24,29,23,55,78,2.3913,61,199,260,3.2623,16.0,7.6
2026-05-01,36,0,65,65,0.0,27,316,343,11.7037,16.0,24.4
2026-05-15,50,80,639,719,7.9875,8334,6388,14722,0.7665,15.0,24.86
2026-08-21,148,422,74,496,0.1754,1099,725,1824,0.6597,12.5,46.96
2026-11-20,239,11,15,26,1.3636,16,12,28,0.75,10.0,38.9
2027-01-15,295,87,357,444,4.1034,9462,3104,12566,0.328,15.0,60.31
2028-01-21,666,104,16,120,0.1538,4184,174,4358,0.0416,10.0,92.54
