filing_date,form_type,description,significance,significance_note,accession,filing_url,index_url,company
2026-03-18,3,,LOW,Initial insider holdings,0001213900-26-031040,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031040/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031040/0001213900-26-031040-index.htm,Gorilla Technology Group Inc.
2026-03-18,3,,LOW,Initial insider holdings,0001213900-26-031038,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031038/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031038/0001213900-26-031038-index.htm,Gorilla Technology Group Inc.
2026-03-18,3,,LOW,Initial insider holdings,0001213900-26-031037,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031037/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031037/0001213900-26-031037-index.htm,Gorilla Technology Group Inc.
2026-03-18,3,,LOW,Initial insider holdings,0001213900-26-031035,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031035/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031035/0001213900-26-031035-index.htm,Gorilla Technology Group Inc.
2026-03-18,3,,LOW,Initial insider holdings,0001213900-26-031034,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031034/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031034/0001213900-26-031034-index.htm,Gorilla Technology Group Inc.
2026-03-18,3,,LOW,Initial insider holdings,0001213900-26-031033,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031033/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031033/0001213900-26-031033-index.htm,Gorilla Technology Group Inc.
2026-03-18,3,,LOW,Initial insider holdings,0001213900-26-031032,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031032/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1903145/000121390026031032/0001213900-26-031032-index.htm,Gorilla Technology Group Inc.
2026-03-18,S-8,REGISTRATION STATEMENT,LOW,Standard filing,0001213900-26-030709,https://www.sec.gov/Archives/edgar/data/1903145/000121390026030709/ea0282123-s8_gorillatech.htm,https://www.sec.gov/Archives/edgar/data/1903145/000121390026030709/0001213900-26-030709-index.htm,Gorilla Technology Group Inc.
2026-03-16,144,,LOW,Standard filing,0001957799-26-000037,https://www.sec.gov/Archives/edgar/data/1903145/000195779926000037/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1903145/000195779926000037/0001957799-26-000037-index.htm,Gorilla Technology Group Inc.
2026-03-16,144,,LOW,Standard filing,0001957799-26-000035,https://www.sec.gov/Archives/edgar/data/1903145/000195779926000035/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1903145/000195779926000035/0001957799-26-000035-index.htm,Gorilla Technology Group Inc.
2026-03-02,6-K,FORM 6-K,LOW,Foreign private issuer current report,0001437749-26-006382,https://www.sec.gov/Archives/edgar/data/1903145/000143774926006382/grrr20260227_6k.htm,https://www.sec.gov/Archives/edgar/data/1903145/000143774926006382/0001437749-26-006382-index.htm,Gorilla Technology Group Inc.
