antecedent,consequent,confidence,lift,count,antecedent_count,support,size
Post_Time=pre_market & Post_DOW=Tue,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,2
Post_Time=pre_market & Post_DOW=Tue & Buzz=high_buzz,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Sent_Trend=unknown,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Mkt_trend=uptrend,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Mkt_trend_strength=weak_uptrend,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Mkt_volatility=high,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Buzz=high_buzz & Mkt_trend=uptrend,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Buzz=high_buzz & Mkt_trend_strength=weak_uptrend,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Buzz=high_buzz & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Buzz=high_buzz & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Buzz=high_buzz & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Sent_Trend=unknown & Mkt_trend=uptrend,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Mkt_trend=uptrend & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Mkt_trend=uptrend & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Mkt_trend_strength=weak_uptrend & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=pre_market & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,1.0,6.5833,11,11,0.1392,3
Post_Time=market_hours & Post_DOW=Wed,NEXT_FullDay=day_up,1.0,8.7778,8,8,0.1013,2
Post_Time=market_hours & Mkt_reversion=mild_rally,NEXT_FullDay=day_up,1.0,8.7778,8,8,0.1013,2
Post_Time=market_hours & Post_DOW=Wed & Mkt_reversion=mild_rally,NEXT_FullDay=day_up,1.0,8.7778,8,8,0.1013,3
Post_Time=market_hours & Post_DOW=Wed & Mkt_momentum=strong_up,NEXT_FullDay=day_up,1.0,8.7778,8,8,0.1013,3
Post_Time=market_hours & Post_DOW=Wed & Mkt_volatility=high,NEXT_FullDay=day_up,1.0,8.7778,8,8,0.1013,3
