Date,Open,High,Low,Close,Volume,Down_Day,Down_Volume,Up_Volume,Down_Vol_Ratio,Vol_Spike,BB_Width
2025-12-29,11.0,11.609999656677246,10.899999618530273,11.1899995803833,1287100,0,0,1287100,,,
2025-12-30,11.149999618530273,11.420000076293945,10.930000305175781,10.9399995803833,963200,1,963200,0,,,
2025-12-31,10.989999771118164,11.199999809265137,10.845000267028809,10.920000076293945,908000,1,908000,0,,,
2026-01-02,11.479999542236328,12.82800006866455,11.449999809265137,12.59000015258789,1317000,0,0,1317000,,,
2026-01-05,12.59000015258789,13.380000114440918,12.23799991607666,13.029999732971191,845800,0,0,845800,0.3517,,
2026-01-06,12.90999984741211,13.329999923706055,12.725000381469727,13.239999771118164,585000,0,0,585000,0.4051,,
2026-01-07,13.100000381469727,13.640000343322754,12.960000038146973,13.170000076293945,437000,1,437000,0,0.3286,,
2026-01-08,13.050000190734863,13.380000114440918,12.65999984741211,13.0600004196167,596300,1,596300,0,0.2733,,
2026-01-09,13.489999771118164,13.5,12.670000076293945,12.699999809265137,482200,1,482200,0,0.5144,,
2026-01-12,12.5600004196167,12.59000015258789,11.899999618530273,12.359999656677246,744500,1,744500,0,0.7944,,
2026-01-13,12.859999656677246,13.199999809265137,12.359999656677246,12.880000114440918,870200,0,0,870200,0.722,,
2026-01-14,12.6899995803833,12.789999961853027,12.359999656677246,12.539999961853027,596600,1,596600,0,0.7355,,
2026-01-15,12.680000305175781,14.32800006866455,12.600000381469727,14.09000015258789,1929000,0,0,1929000,0.3944,,
2026-01-16,14.100000381469727,14.399999618530273,13.779999732971191,14.229999542236328,821900,0,0,821900,0.2703,,
2026-01-20,13.3100004196167,14.5,13.215999603271484,13.630000114440918,819800,1,819800,0,0.2812,,
2026-01-21,13.869999885559082,14.199999809265137,13.170000076293945,14.029999732971191,802500,0,0,802500,0.285,,
2026-01-22,14.199999809265137,14.90999984741211,14.069999694824219,14.789999961853027,666100,0,0,666100,0.1627,,
2026-01-23,14.75,14.75,13.951000213623047,14.25,662700,1,662700,0,0.3929,,
2026-01-26,14.149999618530273,14.15999984741211,13.550000190734863,13.75,575600,1,575600,0,0.5836,,
2026-01-27,13.800000190734863,14.89799976348877,13.555999755859375,14.75,757700,0,0,757700,0.3574,0.9092,17.5565
2026-01-28,14.819999694824219,15.204999923706055,14.3100004196167,14.539999961853027,708600,1,708600,0,0.5776,0.8808,16.5658
2026-01-29,14.300000190734863,16.049999237060547,13.75,15.539999961853027,2427200,0,0,2427200,0.3794,2.7655,15.7886
2026-01-30,15.274999618530273,15.489999771118164,14.010000228881836,14.119999885559082,1216900,1,1216900,0,0.4399,1.3625,12.9098
2026-02-02,13.890000343322754,14.0,13.130000114440918,13.1899995803833,974900,1,974900,0,0.4766,1.1129,12.4618
2026-02-03,13.260000228881836,13.369999885559082,11.609999656677246,12.319999694824219,1773000,1,1773000,0,0.6582,1.9222,13.1209
2026-02-04,12.109999656677246,12.305999755859375,11.039999961853027,11.420000076293945,1669600,1,1669600,0,0.6989,1.7096,15.0965
2026-02-05,11.09000015258789,11.260000228881836,10.489999771118164,10.760000228881836,1157600,1,1157600,0,1.0,1.1431,17.8487
2026-02-06,11.229999542236328,11.805999755859375,11.100000381469727,11.75,869200,0,0,869200,0.8651,0.8469,18.783
2026-02-09,11.520000457763672,12.864999771118164,11.430000305175781,12.720000267028809,1065700,0,0,1065700,0.7039,1.0097,18.7732
2026-02-10,12.649999618530273,13.539999961853027,12.359999656677246,12.859999656677246,922700,0,0,922700,0.4973,0.8669,18.4911
2026-02-11,12.920000076293945,13.055000305175781,12.0600004196167,12.630000114440918,711500,1,711500,0,0.3954,0.6735,18.6106
2026-02-12,12.65999984741211,13.1899995803833,12.020000457763672,12.239999771118164,1089600,1,1089600,0,0.3866,1.0079,18.8195
2026-02-13,12.289999961853027,13.09000015258789,12.149999618530273,12.539999961853027,784900,0,0,784900,0.3937,0.7666,18.9552
2026-02-17,12.390000343322754,12.390000343322754,11.612000465393066,11.800000190734863,577900,1,577900,0,0.5821,0.5712,19.4765
2026-02-18,11.819999694824219,11.98900032043457,11.279999732971191,11.420000076293945,417700,1,417700,0,0.7809,0.4212,20.4578
2026-02-19,11.239999771118164,11.270000457763672,10.895000457763672,11.260000228881836,675700,1,675700,0,0.7786,0.6858,21.27
2026-02-20,11.34000015258789,11.595000267028809,11.079999923706055,11.350000381469727,428800,0,0,428800,0.5793,0.4405,21.0905
2026-02-23,11.119999885559082,11.229999542236328,10.800000190734863,10.869999885559082,407000,1,407000,0,0.829,0.4237,21.6158
2026-02-24,10.84000015258789,11.579999923706055,10.710000038146973,11.470000267028809,512800,0,0,512800,0.6144,0.5356,21.7063
2026-02-25,11.779999732971191,11.989999771118164,11.484999656677246,11.510000228881836,648700,0,0,648700,0.4051,0.6814,20.4369
2026-02-26,11.600000381469727,11.829999923706055,11.28499984741211,11.680000305175781,429200,0,0,429200,0.1677,0.4576,18.8985
2026-02-27,11.25,11.819999694824219,11.149999618530273,11.819999694824219,542500,0,0,542500,0.1602,0.6429,13.9228
2026-03-02,11.40999984741211,12.75,11.32699966430664,12.460000038146973,1185300,0,0,1185300,0.0,1.4074,11.4109
2026-03-03,11.600000381469727,11.9399995803833,10.711999893188477,11.489999771118164,1250100,1,1250100,0,0.3082,1.4604,10.3703
2026-03-04,11.380000114440918,11.729999542236328,11.180000305175781,11.479999542236328,485700,1,485700,0,0.4459,0.6136,10.2809
2026-03-05,11.289999961853027,12.449999809265137,11.25,12.279999732971191,734100,0,0,734100,0.4135,0.9856,10.3091
2026-03-06,12.09000015258789,12.989999771118164,12.0,12.5600004196167,704300,0,0,704300,0.3982,0.9753,9.6824
